subject_code;subject_name;subject_acronym
2223_INGE_EI_S5_SOFTSKILLS_SE_OSO12;OSO12 - Comprendre et débattre sur la transition écologique;OSO12_S5
2223_INGE_EI_S5_SOFTSKILLS_SE_OSO14;OSO14 - Egalité (H/F) et mécanismes de violence chez l'être humain;OSO14_S5
2223_INGE_EI_S5_SOFTSKILLS_SE_OSO34;OSO34 - Ethique environnementale pour les organisations;OSO34_S5
2223_INGE_EI_S5_SOFTSKILLS_SE_PRO10;PRO10 - Ateliers Leadership;PRO10_S5
2223_INGE_EI_S5_SOFTSKILLS_SE_PRO20;PRO20 - Mettre en oeuvre et conduire un projet;PRO20_S5
2223_INGE_EI_S5_SOFTSKILLS_SE_PRO51;PRO51 - Comprendre la finance à travers la création d'entreprise;PRO51_S5
2223_INGE_EI_S5_SOFTSKILLS_SH_ENG02;ENG02 - Religion and social change in contemporary Europe and North America;ENG02_S5
2223_INGE_EI_S5_SOFTSKILLS_SH_GEO03;GEO03 - Japon dans le monde;GEO03_S5
2223_INGE_EI_S5_SOFTSKILLS_SH_GEO11;GEO11 - Ville, climat et sociétés : les liaisons dangereuses;GEO11_S5
2223_INGE_EI_S5_SOFTSKILLS_SH_GEO12;GEO12 - Penser et mettre en oeuvre la transition écologique;GEO12_S5
2223_INGE_EI_S5_SOFTSKILLS_SH_NUMCIV01;NUMCIV01 - Numérique et Civilisation;NUMCIV01_S5
2223_INGE_EI_S5_SOFTSKILLS_SH_PHI01;PHI01 - Philosophie : Bienvenue dans la postmodernité;PHI01_S5
2223_INGE_EI_S5_UE51_BLOC_LVC_ALLEM;Allemand;ALLS5
2223_INGE_EI_S5_UE51_BLOC_LVC_CHINO;Chinois;CHIS5
2223_INGE_EI_S5_UE51_BLOC_LVC_ENGLI;Anglais;ANGS5
2223_INGE_EI_S5_UE51_BLOC_LVC_ESPAG;Espagnol;ESPS5
2223_INGE_EI_S5_UE51_BLOC_LVC_ITALI;Italien;ITAS5
2223_INGE_EI_S5_UE51_BLOC_LVC_JAPON;Japonais;JAPS5
2223_INGE_EI_S5_UE51_BLOC_LVC_RUSSE;Russe;RUSS5
2223_INGE_EI_S5_UE51_BLOC_LVO_ENGLI;Anglais;ENGS5
2223_INGE_EI_S5_UE51_BLOC_LVO_FLE;Français langue étrangère;FLES5
2223_INGE_EI_S5_UE51_EPS;Education sportive;EPS_S5
2223_INGE_EI_S5_UE55_BIOLO;Biologie;BIOLO_S5
